Team,Runs,Wickets,Fours,Sixes,PowerPlay Runs,PowerPlay Wickets,Mid Over Runs,Last Four Over,Extra Receive,Extra Given,Wickets Taken,Overs,Run Rate,hundred,seventies,fifties,thirties,Caught,bowled,keeper catch,run out,lbw,hit wicket,Innings,Super Over,Against,Ground,Result,DOM
Kings XI Punjab,126,7,7,2,47,1,47,32,7,4,10,20,6.3,0,0,0,1,4,1,,1,,,1,False,Sunrisers Hyderabad,Dubai,Won,2020-10-24
Sunrisers Hyderabad,114,10,12,2,52,0,47,15,4,7,7,19.5,5.85,0,0,0,1,6,1,2,1,,,2,False,Kings XI Punjab,Dubai,Lost,2020-10-24
Chennai Super Kings,114,9,9,3,24,5,49,41,12,2,0,20,5.7,0,0,1,0,3,1,3,,1,,1,False,Mumbai Indians,Sharjah,Lost,2020-10-23
Mumbai Indians,116,0,11,7,52,0,37,27,2,12,9,12.2,9.51,0,0,1,1,,,,,,,2,False,Chennai Super Kings,Sharjah,Won,2020-10-23
Kolkata Knight Riders,84,8,6,2,17,4,41,26,3,5,2,20,4.2,0,0,0,1,3,1,2,1,1,,1,False,Royal Challengers Bangalore,Abu Dhabi,Lost,2020-10-21
Royal Challengers Bangalore,85,2,11,0,44,0,19,22,5,3,8,13.3,6.39,0,0,0,0,,,1,1,,,2,False,Kolkata Knight Riders,Abu Dhabi,Won,2020-10-21
Royal Challengers Bangalore,145,6,11,2,46,1,68,31,9,2,2,20,7.25,0,0,1,1,5,1,,,,,1,False,Chennai Super Kings,Dubai,Lost,2020-10-25
Chennai Super Kings,150,2,12,7,48,1,79,23,2,9,6,18.4,8.15,0,0,1,1,1,1,,,,,2,False,Royal Challengers Bangalore,Dubai,Won,2020-10-25
Rajasthan Royals,154,6,12,4,47,1,66,41,3,7,2,20,7.7,0,0,0,2,3,2,,1,,,1,False,Sunrisers Hyderabad,Dubai,Lost,2020-10-22
Sunrisers Hyderabad,156,2,12,9,58,2,60,38,7,3,6,18.1,8.62,0,1,1,0,1,1,,,,,2,False,Rajasthan Royals,Dubai,Won,2020-10-22
Mumbai Indians,195,5,14,12,59,1,62,74,9,11,2,20,9.75,0,0,1,3,3,2,,,,,1,False,Rajasthan Royals,Abu Dhabi,Lost,2020-10-25
Rajasthan Royals,196,2,21,7,55,2,102,39,11,9,5,18.2,10.77,1,0,1,0,1,1,,,,,2,False,Mumbai Indians,Abu Dhabi,Won,2020-10-25
Kolkata Knight Riders,149,9,12,8,54,3,60,35,6,3,2,20,7.45,0,0,1,1,3,3,2,,1,,1,False,Kings XI Punjab,Sharjah,Lost,2020-10-26
Kings XI Punjab,150,2,14,7,36,0,77,37,3,6,9,18.5,8.11,0,0,2,0,1,,,,1,,2,False,Kolkata Knight Riders,Sharjah,Won,2020-10-26
Sunrisers Hyderabad,219,2,25,5,77,0,104,38,11,9,10,20,10.95,0,1,1,1,2,,,,,,1,False,Delhi Capitals,Dubai,Won,2020-10-27
Delhi Capitals,131,10,13,3,54,2,42,35,9,11,2,19,6.89,0,0,0,1,7,2,,,1,,2,False,Sunrisers Hyderabad,Dubai,Lost,2020-10-27
Royal Challengers Bangalore,164,6,21,3,54,0,80,30,3,8,5,20,8.2,0,0,1,1,5,,,,,,1,False,Mumbai Indians,Abu Dhabi,Lost,2020-10-28
Mumbai Indians,166,5,15,7,45,1,85,36,8,3,6,19.1,8.69,0,1,0,0,5,,,,,,2,False,Royal Challengers Bangalore,Abu Dhabi,Won,2020-10-28
Kings XI Punjab,185,4,10,13,53,1,84,48,11,5,3,20,9.25,0,1,0,1,3,1,,,,,1,False,Rajasthan Royals,Abu Dhabi,Lost,2020-10-30
